Sale_ID,Property_ID,Customer_ID,Agent_ID,Listing_Date,Sale_Date,Days_On_Market,Payment_Method,Loan_Approved,Sale_Status
S00001,P22859,C12191,A0099,10/19/2025,11/24/2025,36,Cash,Yes,Cancelled
S00002,P21023,C10057,A0496,6/27/2022,2/16/2023,234,Home Loan,No,Pending
S00003,P09273,C01502,A0075,10/6/2024,4/24/2026,565,NEFT,No,Completed
S00004,P28722,C11573,A0220,7/26/2025,12/2/2025,129,Home Loan,Yes,Completed
S00005,P08826,C08151,A0400,9/6/2023,11/19/2025,805,Cash,Yes,Pending
S00006,P06158,C17327,A0398,10/13/2024,12/11/2025,424,UPI,No,Completed
S00007,P20514,C04986,A0074,4/20/2025,8/27/2025,129,Bank Loan,Yes,Completed
S00008,P05186,C19749,A0161,6/23/2023,7/30/2023,37,Cash,No,Completed
S00009,P28475,C11682,A0281,8/14/2021,3/15/2023,578,Home Loan,No,Pending
S00010,P01898,C08697,A0007,5/4/2023,11/17/2023,197,Home Loan,Yes,Completed
S00011,P11029,C14285,A0002,10/10/2023,4/19/2026,922,Bank Loan,Yes,Completed
S00012,P09002,C05151,A0034,8/11/2023,11/22/2023,103,Cash,No,Completed
S00013,P16759,C10913,A0450,7/21/2021,2/3/2025,1293,NEFT,Yes,Cancelled
S00014,P01932,C15379,A0362,4/24/2025,11/26/2025,216,Home Loan,Yes,Pending
S00015,P08326,C14578,A0385,3/24/2023,12/28/2023,279,Cash,Yes,Completed
S00016,P15479,C13846,A0246,8/11/2025,1/5/2026,147,Bank Loan,No,Completed
S00017,P29724,C12179,A0066,11/11/2022,11/3/2023,357,NEFT,Yes,Completed
S00018,P22706,C02727,A0161,11/24/2023,2/20/2024,88,Cash,Yes,Completed
S00019,P20210,C08815,A0421,9/16/2025,4/4/2026,200,Home Loan,Yes,Completed
S00020,P02073,C19903,A0213,8/13/2024,3/16/2026,580,Cash,No,Completed
S00021,P27446,C14249,A0098,7/19/2022,11/24/2023,493,Home Loan,No,Completed
S00022,P13948,C00415,A0412,2/18/2024,2/26/2026,739,NEFT,No,Pending
S00023,P21196,C03222,A0409,11/25/2022,9/27/2024,672,Bank Loan,No,Completed
S00024,P26099,C10119,A0230,1/20/2024,4/6/2026,807,RTGS,Yes,Completed
S00025,P18998,C13787,A0335,5/8/2023,2/22/2025,656,RTGS,Yes,Completed
S00026,P27539,C03921,A0491,8/25/2025,2/10/2026,169,Bank Loan,Yes,Completed
S00027,P26055,C07521,A0480,4/15/2025,12/4/2025,233,Bank Loan,No,Completed
S00028,P00981,C18017,A0276,11/16/2021,11/12/2025,1457,Cash,Yes,Completed
S00029,P23564,C17363,A0177,2/10/2023,8/18/2024,555,Cash,Yes,Completed
S00030,P25349,C14046,A0185,8/29/2022,9/23/2023,390,Cash,Yes,Completed
