Sale_ID,Property_ID,Customer_ID,Agent_ID,Listing_Date,Sale_Date,Days_On_Market,Payment_Method,Loan_Approved,Sale_Status
S00001,P22859,C12191,A0099,2025-10-19,2025-11-24,36,Cash,Yes,Cancelled
S00002,P21023,C10057,A0496,2022-06-27,2023-02-16,234,Home Loan,No,Pending
S00003,P09273,C01502,A0075,2024-10-06,2026-04-24,565,NEFT,No,Completed
S00004,P28722,C11573,A0220,2025-07-26,2025-12-02,129,Home Loan,Yes,Completed
S00005,P08826,C08151,A0400,2023-09-06,2025-11-19,805,Cash,Yes,Pending
S00006,P06158,C17327,A0398,2024-10-13,2025-12-11,424,UPI,No,Completed
S00007,P20514,C04986,A0074,2025-04-20,2025-08-27,129,Bank Loan,Yes,Completed
S00008,P05186,C19749,A0161,2023-06-23,2023-07-30,37,Cash,No,Completed
S00009,P28475,C11682,A0281,2021-08-14,2023-03-15,578,Home Loan,No,Pending
S00010,P01898,C08697,A0007,2023-05-04,2023-11-17,197,Home Loan,Yes,Completed
S00011,P11029,C14285,A0002,2023-10-10,2026-04-19,922,Bank Loan,Yes,Completed
S00012,P09002,C05151,A0034,2023-08-11,2023-11-22,103,Cash,No,Completed
S00013,P16759,C10913,A0450,2021-07-21,2025-02-03,1293,NEFT,Yes,Cancelled
S00014,P01932,C15379,A0362,2025-04-24,2025-11-26,216,Home Loan,Yes,Pending
S00015,P08326,C14578,A0385,2023-03-24,2023-12-28,279,Cash,Yes,Completed
S00016,P15479,C13846,A0246,2025-08-11,2026-01-05,147,Bank Loan,No,Completed
S00017,P29724,C12179,A0066,2022-11-11,2023-11-03,357,NEFT,Yes,Completed
S00018,P22706,C02727,A0161,2023-11-24,2024-02-20,88,Cash,Yes,Completed
S00019,P20210,C08815,A0421,2025-09-16,2026-04-04,200,Home Loan,Yes,Completed
S00020,P02073,C19903,A0213,2024-08-13,2026-03-16,580,Cash,No,Completed
S00021,P27446,C14249,A0098,2022-07-19,2023-11-24,493,Home Loan,No,Completed
S00022,P13948,C00415,A0412,2024-02-18,2026-02-26,739,NEFT,No,Pending
S00023,P21196,C03222,A0409,2022-11-25,2024-09-27,672,Bank Loan,No,Completed
S00024,P26099,C10119,A0230,2024-01-20,2026-04-06,807,RTGS,Yes,Completed
S00025,P18998,C13787,A0335,2023-05-08,2025-02-22,656,RTGS,Yes,Completed
S00026,P27539,C03921,A0491,2025-08-25,2026-02-10,169,Bank Loan,Yes,Completed
S00027,P26055,C07521,A0480,2025-04-15,2025-12-04,233,Bank Loan,No,Completed
S00028,P00981,C18017,A0276,2021-11-16,2025-11-12,1457,Cash,Yes,Completed
S00029,P23564,C17363,A0177,2023-02-10,2024-08-18,555,Cash,Yes,Completed
S00030,P25349,C14046,A0185,2022-08-29,2023-09-23,390,Cash,Yes,Completed
S00031,P12322,C15208,A0206,2022-06-06,2025-06-08,1098,UPI,Yes,Completed
S00032,P27775,C12190,A0355,2025-10-02,2026-04-13,193,Home Loan,No,Completed
S00033,P08701,C01394,A0482,2023-09-13,2025-12-27,836,RTGS,Yes,Completed
S00034,P01491,C12968,A0476,2024-10-26,2026-05-14,565,NEFT,No,Completed
S00035,P02359,C13371,A0304,2021-09-05,2023-11-19,805,NEFT,Yes,Completed
S00036,P13263,C10917,A0295,2021-08-21,2022-05-03,255,RTGS,Yes,Completed
S00037,P29898,C03158,A0459,2023-07-30,2024-03-16,230,Home Loan,No,Completed
S00038,P08311,C19767,A0472,2022-11-29,2024-09-15,656,NEFT,No,Completed
S00039,P08034,C02576,A0090,2026-02-07,2026-05-15,97,UPI,No,Completed
S00040,P13850,C16606,A0143,2024-11-29,2025-04-02,124,RTGS,Yes,Completed
S00041,P27283,C01929,A0016,2025-08-16,2025-12-26,132,UPI,No,Completed
S00042,P12053,C17532,A0382,2024-04-01,2026-01-23,662,Home Loan,No,Completed
S00043,P13721,C08722,A0152,2021-12-06,2026-05-12,1618,RTGS,No,Completed
S00044,P07556,C08762,A0050,2023-01-20,2023-10-07,260,RTGS,Yes,Completed
