Property_ID,Swimming_Pool,Gym,Garden,Lift,Security,Power_Backup,Club_House,CCTV,Childrens_Play_Area
P00001,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00002,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00003,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00004,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00005,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00006,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00007,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00008,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00009,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00010,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00011,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00012,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00013,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00014,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00015,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P00016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00017,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P00018,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00019,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00020,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00021,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00022,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00024,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00026,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00027,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00028,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00029,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00030,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00031,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00032,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00033,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00034,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00035,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00036,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P00037,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00038,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00039,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00040,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00041,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00042,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00043,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00044,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00045,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00046,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00047,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00048,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00049,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00050,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00051,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00052,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00053,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P00054,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00055,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00056,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00057,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00058,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00059,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00060,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
