Property_ID,City,State,Locality,Zip_Code,Latitude,Longitude
P00001,Delhi,Delhi,Rohini,969756,26.054141,81.481271
P00002,Hyderabad,Telangana,Kukatpally,760076,30.529241,72.264448
P00003,Bhopal,Madhya Pradesh,Central Area,616906,13.135018,87.134084
P00004,Surat,Gujarat,Central Area,757415,12.402948,91.468827
P00005,Hyderabad,Telangana,Madhapur,529097,19.977064,80.069059
P00006,Hyderabad,Telangana,Kukatpally,361733,11.628093,71.157015
P00007,Hyderabad,Telangana,Kukatpally,743046,34.71527,82.014521
P00008,Ghaziabad,Uttar Pradesh,Central Area,780288,33.027658,93.873161
P00009,Patna,Bihar,Bailey Road,746389,20.5513,72.548484
P00010,Bengaluru,Karnataka,Indiranagar,642261,20.311296,93.922871
P00011,Pune,Maharashtra,Wakad,555715,19.050062,77.259325
P00012,Mysuru,Karnataka,Central Area,334181,8.864687,76.217013
P00013,Ahmedabad,Gujarat,Navrangpura,957333,26.589851,73.992423
P00014,Mysuru,Karnataka,Central Area,791268,8.204852,86.100232
P00015,Lucknow,Uttar Pradesh,Hazratganj,464897,30.216522,80.655381
P00016,Lucknow,Uttar Pradesh,Hazratganj,296431,24.313247,73.293145
P00017,Udaipur,Rajasthan,Central Area,503902,9.937641,88.842363
P00018,Noida,Uttar Pradesh,Sector 137,915922,22.62179,75.878829
P00019,Hyderabad,Telangana,Gachibowli,485756,14.229507,74.706208
P00020,Mumbai,Maharashtra,Bandra,678685,31.021972,85.47094
P00021,Patna,Bihar,Bailey Road,636531,21.44321,77.170217
P00022,Cuttack,Odisha,Central Area,657384,34.619536,73.772517
P00023,Chennai,Tamil Nadu,OMR,991947,15.302793,91.395996
P00024,Kolkata,West Bengal,Salt Lake,383514,12.704131,87.38147
P00025,Chandigarh,Chandigarh,Central Area,468103,20.725245,90.656442
P00026,Kolkata,West Bengal,Salt Lake,150396,34.141165,93.902416
P00027,Warangal,Telangana,Central Area,613971,14.116149,88.724462
P00028,Bhopal,Madhya Pradesh,Central Area,439169,17.616467,83.370452
P00029,Udaipur,Rajasthan,Central Area,901951,9.39819,70.314511
P00030,Jaipur,Rajasthan,Mansarovar,520279,23.709529,91.558963
P00031,Thiruvananthapuram,Kerala,Central Area,549431,24.994644,88.570602
P00032,Delhi,Delhi,Saket,529348,26.134821,73.782986
P00033,Mumbai,Maharashtra,Borivali,874267,17.859824,72.004993
P00034,Bhubaneswar,Odisha,Khandagiri,755012,20.387422,86.79498
P00035,Coimbatore,Tamil Nadu,Central Area,986919,23.140298,90.430576
P00036,Bhubaneswar,Odisha,Patia,278423,20.106736,90.360774
P00037,Thiruvananthapuram,Kerala,Central Area,350737,20.558427,90.192212
P00038,Jamshedpur,Jharkhand,Central Area,173795,34.383086,96.099045
P00039,Warangal,Telangana,Central Area,592038,24.701769,72.034807
P00040,Chennai,Tamil Nadu,Anna Nagar,358268,15.126383,86.245578
P00041,Ghaziabad,Uttar Pradesh,Central Area,226446,24.252691,94.923594
P00042,Pune,Maharashtra,Wakad,400097,13.681087,91.681707
P00043,Vadodara,Gujarat,Central Area,580118,28.002054,76.261313
P00044,Cuttack,Odisha,Central Area,791862,34.906684,76.31386
P00045,Vadodara,Gujarat,Central Area,798715,29.250743,91.851348
P00046,Pune,Maharashtra,Baner,140449,13.778912,84.238304
P00047,Ghaziabad,Uttar Pradesh,Central Area,347456,18.189623,89.91671
P00048,Indore,Madhya Pradesh,Central Area,211098,24.409367,70.941128
P00049,Kolkata,West Bengal,Park Street,895076,20.941972,89.449224
P00050,Howrah,West Bengal,Central Area,926198,8.800919,79.499833
P00051,Cuttack,Odisha,Central Area,569807,24.245188,94.689517
P00052,Patna,Bihar,Bailey Road,157764,11.446756,73.715796
P00053,Noida,Uttar Pradesh,Sector 18,973685,22.676621,88.663042
P00054,Udaipur,Rajasthan,Central Area,804881,12.736938,89.910777
P00055,Kolkata,West Bengal,Park Street,100209,25.223867,68.884049
P00056,Mumbai,Maharashtra,Powai,461777,10.601704,85.004298
P00057,Chandigarh,Chandigarh,Central Area,945254,24.62991,85.230357
P00058,Chandigarh,Chandigarh,Central Area,874276,33.771598,70.695518
P00059,Nagpur,Maharashtra,Central Area,604225,33.279363,69.116057
P00060,Udaipur,Rajasthan,Central Area,202370,8.624094,80.880808
P00061,Kochi,Kerala,Edappally,464656,31.300487,92.447099
P00062,Udaipur,Rajasthan,Central Area,485165,27.171082,72.157028
P00063,Ranchi,Jharkhand,Lalpur,166367,8.071652,93.853526
P00064,Patna,Bihar,Boring Road,803367,21.516224,83.528843
P00065,Hyderabad,Telangana,Kukatpally,810563,22.660292,96.00188
P00066,Howrah,West Bengal,Central Area,214587,17.369422,89.869227
P00067,Jaipur,Rajasthan,Mansarovar,565091,26.411313,87.852708
P00068,Mumbai,Maharashtra,Borivali,675070,16.029798,79.80967
P00069,Warangal,Telangana,Central Area,571907,12.466107,90.531014
P00070,Lucknow,Uttar Pradesh,Hazratganj,505023,31.241128,70.111869
P00071,Howrah,West Bengal,Central Area,615221,20.869524,69.614982
P00072,Indore,Madhya Pradesh,Central Area,163406,13.564795,83.496907
P00073,Mysuru,Karnataka,Central Area,230260,22.650501,87.856694
P00074,Howrah,West Bengal,Central Area,593682,10.104347,84.342282
P00075,Lucknow,Uttar Pradesh,Aliganj,656084,18.877009,75.287239
P00076,Jaipur,Rajasthan,Mansarovar,532918,28.37168,84.144452
P00077,Mysuru,Karnataka,Central Area,725517,22.75921,70.622905
P00078,Kolkata,West Bengal,Park Street,468396,28.667242,69.93005
P00079,Bengaluru,Karnataka,Whitefield,271406,21.091293,87.721612
P00080,Lucknow,Uttar Pradesh,Gomti Nagar,446006,30.526348,71.707501
P00081,Kochi,Kerala,Marine Drive,190405,17.670126,94.814384
P00082,Mysuru,Karnataka,Central Area,525847,25.275241,89.466674
P00083,Noida,Uttar Pradesh,Sector 137,969521,34.243871,88.613439
P00084,Patna,Bihar,Boring Road,811064,18.442062,85.516766
P00085,Thiruvananthapuram,Kerala,Central Area,456896,10.315814,72.678292
P00086,Ahmedabad,Gujarat,Navrangpura,830692,21.978548,96.906032
P00087,Lucknow,Uttar Pradesh,Gomti Nagar,626257,33.485146,94.309211
P00088,Udaipur,Rajasthan,Central Area,883826,21.433037,96.525974
P00089,Bhubaneswar,Odisha,Patia,923089,11.219464,94.559251
P00090,Warangal,Telangana,Central Area,250326,29.824602,95.903011
P00091,Ranchi,Jharkhand,Harmu,403162,14.341158,95.489912
P00092,Kochi,Kerala,Marine Drive,759450,19.054677,93.031801
P00093,Nagpur,Maharashtra,Central Area,612635,11.113398,74.832693
P00094,Udaipur,Rajasthan,Central Area,324656,27.096014,85.490968
P00095,Surat,Gujarat,Central Area,741917,18.544595,83.422336
P00096,Udaipur,Rajasthan,Central Area,920463,12.779686,75.958413
P00097,Cuttack,Odisha,Central Area,231143,16.364468,86.524777
P00098,Patna,Bihar,Boring Road,555264,28.036238,94.544683
P00099,Noida,Uttar Pradesh,Sector 62,867282,27.594773,91.080269
P00100,Kolkata,West Bengal,Salt Lake,589497,10.714792,87.255893
P00101,Patna,Bihar,Bailey Road,814733,23.2255,95.071165
P00102,Lucknow,Uttar Pradesh,Gomti Nagar,962646,17.234886,80.097182
P00103,Nagpur,Maharashtra,Central Area,766415,32.667322,68.264681
P00104,Warangal,Telangana,Central Area,405627,21.432515,84.701157
P00105,Cuttack,Odisha,Central Area,467510,34.146777,69.297547
