Property_ID,Property_Name,Property_Type,Property_Status,Bedrooms,Bathrooms,Area_sqft,Parking,Furnished,Construction_Year,Listing_Price,Selling_Price,Discount (%)
P00001,Sky Heights,Shop,Available,6,3,2506,Yes,Furnished,2023,10472574,10263122.52,2
P00002,Silver Oak,Commercial Office,Available,1,1,2291,Yes,Unfurnished,2019,6721794,6318486.36,6
P00003,Blue Horizon,Shop,Under Construction,5,4,2305,No,Unfurnished,2008,6006830,5706488.5,5
P00004,Silver Oak,Shop,Sold,3,2,2263,No,Furnished,2002,19742412,19150139.64,3
P00005,Grand Palace,Independent House,Sold,5,3,855,No,Unfurnished,2003,7439355,7290567.9,2
P00006,Palm Residency,Commercial Office,Under Construction,5,3,2075,Yes,Furnished,2021,12933475,11769462.25,9
P00007,Grand Palace,Apartment,Available,1,4,2777,No,Unfurnished,2011,14340428,12762980.92,11
P00008,Sunshine Towers,Independent House,Under Construction,3,1,1901,Yes,Furnished,2014,16569116,15243586.72,8
P00009,City Square,Shop,Under Construction,2,3,958,Yes,Furnished,2025,7345944,6464430.72,12
P00010,Sky Heights,Independent House,Available,5,3,2241,No,Semi-Furnished,2020,22448097,21550173.12,4
P00011,Royal Enclave,Independent House,Available,6,5,4915,No,Unfurnished,2018,46785885,41171578.8,12
P00012,Sunshine Towers,Independent House,Available,5,4,1244,Yes,Furnished,2004,6370524,5542355.88,13
P00013,Sky Heights,Commercial Office,Sold,4,5,4334,No,Unfurnished,2000,18965584,17448337.28,8
P00014,Elite Homes,Shop,Available,3,4,1795,No,Furnished,2023,12232925,11621278.75,5
P00015,River View,Commercial Office,Available,6,3,4658,Yes,Furnished,2011,23970068,23970068.0,0
P00016,Elite Homes,Commercial Office,Sold,1,1,3473,No,Furnished,2001,22386958,21939218.84,2
P00017,City Square,Apartment,Sold,1,5,1530,Yes,Unfurnished,2015,17605710,16725424.5,5
P00018,Lake View,Independent House,Under Construction,4,2,4917,Yes,Unfurnished,2009,44434929,39547086.81,11
P00019,River View,Plot,Under Construction,4,1,2530,Yes,Furnished,2010,7195320,6691647.6,7
P00020,Sunshine Towers,Commercial Office,Available,1,1,2375,Yes,Furnished,2010,8692500,8084025.0,7
P00021,Blue Horizon,Independent House,Sold,2,5,1583,No,Furnished,2025,16224167,14115025.29,13
P00022,Sky Heights,Villa,Available,6,4,3402,No,Semi-Furnished,2014,11522574,11176896.78,3
P00023,Silver Oak,Apartment,Under Construction,3,1,2536,Yes,Furnished,2017,24979600,23980416.0,4
P00024,Royal Enclave,Plot,Sold,4,2,1117,No,Unfurnished,2003,3717376,3717376.0,0
P00025,River View,Apartment,Available,2,4,4478,No,Furnished,2012,15493880,14719186.0,5
P00026,Green Residency,Plot,Sold,3,4,2836,No,Unfurnished,2023,32911780,27975013.0,15
P00027,Sunshine Towers,Villa,Sold,2,1,4941,Yes,Unfurnished,2010,16977276,16807503.24,1
